,nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
81,0.033,0.0068,0.026,0.15,0.1,3,0.15,0.2,0.4,0.075,8,0.5866,0.0696
82,0.033,0.068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.075,8,0.5925,0.1078
83,0.033,0.0068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.075,8,0.6036,0.0716
84,0.033,0.034,0.078,0.75,0.5,3,0.15,0.02,0.4,0.225,40,0.6077,0.059
85,0.099,0.034,0.13,0.15,0.3,3,0.15,0.06,1.2,0.225,8,0.6119,0.038
86,0.165,0.0204,0.078,0.75,0.5,15,0.75,0.02,2.0,0.075,40,0.6178,0.3364
87,0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,1.2,0.375,40,0.6337,0.1946
88,0.033,0.0204,0.13,0.45,0.3,15,0.45,0.1,0.4,0.075,40,0.646,0.0203
89,0.033,0.0068,0.026,0.15,0.1,3,0.15,0.02,4.0,0.075,8,0.7058,0.0272
90,0.165,0.0068,0.078,0.75,0.3,3,0.15,0.02,1.2,0.075,40,0.7139,0.095
91,0.033,0.0204,0.13,0.75,0.3,9,0.15,0.02,1.2,0.225,40,0.7356,0.0247
92,0.099,0.034,0.078,0.75,0.5,9,0.45,0.1,2.0,0.225,24,0.7801,0.085
93,0.033,0.034,0.13,0.75,0.5,15,0.15,0.06,2.0,0.225,40,0.7828,0.0492
94,0.033,0.0204,0.026,0.45,0.5,15,0.75,0.1,1.2,0.225,40,0.8109,0.0415
95,0.033,0.0068,0.026,0.75,0.3,15,0.75,0.02,2.0,0.375,24,0.8326,0.0585
96,0.165,0.0204,0.078,0.75,0.5,9,0.15,0.02,0.4,0.375,40,0.8742,0.2105
97,0.099,0.034,0.026,0.75,0.3,15,0.75,0.02,1.2,0.375,40,1.0,0.021
98,0.165,0.034,0.026,0.75,0.5,15,0.45,0.02,2.0,0.225,40,1.006,0.0393
99,0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8,0.5005,0.0125
100,0.033,0.034,0.026,0.75,0.3,3,0.15,0.06,1.2,0.075,8,0.4967,0.0131
101,0.033,0.034,0.026,0.75,0.1,3,0.15,0.1,1.2,0.075,8,0.4774,0.0064
102,0.033,0.034,0.078,0.75,0.3,3,0.15,0.1,0.4,0.075,8,0.4678,0.0074
103,0.033,0.0204,0.026,0.75,0.5,3,0.15,0.02,1.2,0.075,24,0.713,0.0221
104,0.033,0.0068,0.026,0.75,0.5,3,0.15,0.06,0.4,0.075,40,0.984,0.0226
105,0.033,0.034,0.026,0.75,0.1,9,0.15,0.02,1.2,0.075,24,0.6668,0.0087
106,0.033,0.034,0.078,0.75,0.3,3,0.15,0.02,1.2,0.075,24,0.6383,0.0298
